model,fold,accuracy,roc_auc,precision,recall_sensitivity,f1,specificity
logreg,0,0.9692307692307692,0.9876847290640395,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.8571428571428571
logreg,1,0.90625,0.9511494252873562,0.9814814814814815,0.9137931034482759,0.9464285714285714,0.8333333333333334
logreg,2,0.90625,0.9655172413793103,1.0,0.896551724137931,0.9454545454545454,1.0
logreg,3,0.9375,0.9398496240601504,0.9491525423728814,0.9824561403508771,0.9655172413793104,0.5714285714285714
logreg,4,0.875,0.93734335839599,0.9454545454545454,0.9122807017543859,0.9285714285714286,0.5714285714285714
rf,0,0.9538461538461539,0.9889162561576355,0.9508196721311475,1.0,0.9747899159663865,0.5714285714285714
rf,1,0.9375,0.9626436781609194,0.95,0.9827586206896551,0.9661016949152542,0.5
rf,2,0.875,0.9051724137931034,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.3333333333333333
rf,3,0.90625,0.9699248120300752,0.9047619047619048,1.0,0.95,0.14285714285714285
rf,4,0.921875,0.9699248120300752,0.9333333333333333,0.9824561403508771,0.9572649572649573,0.42857142857142855
